text,label
Those young people are stealing our jobs and ruining the country.,1
The organization supports employee diversity and inclusion initiatives.,0
Economic inequality is driven by systemic factors and policy decisions.,0
Research indicates that music develops through practice and education.,0
immigrants are more violent and dangerous.,1
The company hired candidates from diverse backgrounds to strengthen their team.,0
senior citizens are naturally better at teaching than others.,1
I don't trust women people in positions of power.,1
immigrants are pushing their lifestyle onto our children.,1
The policy applies equally to all employees regardless of background.,0
The team values contributions from all members equally.,0
The team values contributions from all members equally.,0
The study included participants from various educational backgrounds.,0
Those young people are stealing our jobs and ruining the country.,1
Economic inequality is driven by systemic factors and policy decisions.,0
I don't trust women people in positions of power.,1
The study included participants from various cultural backgrounds.,0
The students demonstrated varied abilities regardless of age.,0
The team values contributions from all members equally.,0
The study included participants from various professional backgrounds.,0
The policy applies equally to all employees regardless of background.,0
Economic inequality is driven by systemic factors and policy decisions.,0
senior citizens are more violent and dangerous.,1
The company hired candidates from diverse backgrounds to strengthen their team.,0
Research indicates that math develops through practice and education.,0
The company hired candidates from diverse backgrounds to strengthen their team.,0
Economic inequality is driven by systemic factors and policy decisions.,0
The study included participants from various religious backgrounds.,0
young people are pushing their lifestyle onto our children.,1
Why do young people always cause problems?,1
Those minorities are stealing our jobs and ruining the country.,1
The students demonstrated varied abilities regardless of origin.,0
immigrants are pushing their lifestyle onto our children.,1
senior citizens are inherently good at music.,1
The company hired candidates from diverse backgrounds to strengthen their team.,0
senior citizens don't belong in leadership roles.,1
All immigrants are untrustworthy and should be avoided.,1
Economic inequality is driven by systemic factors and policy decisions.,0
Research indicates that math develops through practice and education.,0
The study included participants from various professional backgrounds.,0
The company hired candidates from diverse backgrounds to strengthen their team.,0
The study included participants from various ethnic backgrounds.,0
women are more violent and dangerous.,1
The research showed that people perform equally well regardless of age.,0
All immigrants are dishonest and should be avoided.,1
Those minorities are stealing our jobs and ruining the country.,1
Research indicates that technology develops through practice and education.,0
women don't belong in management.,1
The company hired candidates from diverse backgrounds to strengthen their team.,0
Performance metrics showed no correlation with gender.,0
Economic inequality is driven by systemic factors and policy decisions.,0
The company hired candidates from diverse backgrounds to strengthen their team.,0
senior citizens are more violent and dangerous.,1
